,mR,mG,mB,stdR,stdG,stdB,D1,D2,D3
47,27.5245756757,31.3097810811,35.6836189189,3116.27436901,4310.74828163,5287.08957058,12017.518213,15483.8609526,5574.35933539
48,119.840644604,91.8500690647,80.0725352518,7179.0351814,8539.86398115,8029.05896885,22983.0080059,31038.6707512,14360.241537
49,81.876245614,84.5162132254,80.1862618084,7882.04388863,5225.72790717,4005.67216754,21895.7236007,28925.5356908,10822.5754329
50,98.9589880795,78.1968874172,64.9140821192,10875.1131789,9300.26914263,8127.81834527,35480.5440629,43998.8225524,21050.7397257
51,65.586256,74.3083253333,80.907768,5748.96583457,6822.62725549,7398.14418926,15765.8264611,22537.7146801,8768.11524787
52,59.5998295165,92.0409720102,84.7271704835,4678.54810023,4357.77172079,3024.74907551,37428.7881049,41609.8743449,19889.8286569
53,138.043221925,104.95026738,102.813122995,5333.68087785,5915.90485287,5647.47909303,39435.3483692,40759.8736627,5920.52903042
54,173.25036828,164.189405914,166.949145161,3543.73589906,4579.21913884,4408.37165572,19394.6020841,23977.1186134,12638.4110948
55,154.544549333,137.494157333,136.287536,11880.7522714,13132.9345312,12928.707259,23645.0800591,27609.1732944,8048.06902306
56,97.6761347709,129.219447439,132.909086253,1954.69368274,1370.25740347,1317.68157027,20269.2850639,23556.8279062,4877.24102337
57,170.618789333,186.603778667,193.136434667,6261.39955309,6133.79401399,7130.56236958,42073.6544526,50196.7452232,13933.4908763
58,97.85044,29.7650853333,14.3133813333,7221.48446114,2250.2380071,1773.55537614,55871.0454708,69926.4783684,15679.7343409
59,120.223909798,132.140880249,104.642018663,10678.0665642,5795.93509832,5950.70458653,42818.5071435,34763.3986543,21260.7836638
60,112.809196676,88.2527645429,73.8265706371,7939.39526722,5950.09313502,5189.75599428,29710.5554307,41636.8995724,18879.3483468
61,157.410949333,127.929634667,128.302826667,4927.78269931,4872.38683805,5855.02704268,41320.1300458,53166.0712109,18993.715408
62,19.2489146667,11.8266026667,13.1638586667,2414.24623082,1413.26070136,878.035270337,13643.0908888,16858.7972881,6452.11259976
63,81.8702293333,77.6096346667,68.66196,5897.11835957,4748.64801224,4657.71176896,11478.0080589,23896.1456934,13948.3486478
64,69.6074602699,23.0449655172,13.1317901049,6183.57340881,1995.93866776,789.166511428,40594.5036181,49771.7252464,16319.6172136
65,156.402010568,155.115608983,134.838253633,6124.40577192,5953.96240735,4544.23539426,2556.46885371,15461.2163816,14237.740235
66,85.5753887324,33.3161577465,36.0174816901,5719.71030527,2424.75279921,2220.27286622,41062.5903835,40323.8837539,5459.48330889
67,57.74444,47.7968426667,47.7040666667,3881.44201442,3056.17193243,3040.7113488,23253.1995433,22939.0727799,2860.36448726
68,159.818581333,116.933466667,105.703157333,6199.7246126,6746.67640532,4984.13807643,35296.0328366,49389.4488935,24110.3881761
69,97.8274805195,108.415904762,101.348083694,3682.23242462,2089.23392943,2041.29633558,25817.1952195,35365.1267918,13096.3178031
70,128.444033233,143.042749245,148.025208459,4547.95241455,4939.18403353,4891.57292949,16116.9354097,23693.22171,8643.50287788
71,130.803168,94.758632,92.0965253333,8390.88187583,5760.67980282,6104.73990153,46304.9337652,54825.7030142,19799.2113479
72,131.540682667,121.978976,117.773184,2845.59975825,2838.31592066,3062.76217584,12078.1920833,16202.6919368,6859.93032035
73,119.627098667,84.258584,80.268512,7170.85522193,3520.97268898,2449.87486664,32845.9142208,40948.7821309,12978.0364077
74,177.843330667,130.085165333,111.818658667,3642.58566005,3404.3367922,3470.38959799,44995.1182241,56378.3766528,15068.4741099
75,55.3251308017,51.8279718706,49.9915105485,5885.28245874,5500.20385217,5349.17074649,9974.92395961,17184.6878354,9873.74488226
76,162.726155587,135.851001414,76.4715615276,6886.78266129,7335.67922234,4342.32955335,34767.4049794,70416.2933915,62719.5182379
77,145.756941333,183.330808,229.546832,1666.22687182,1997.7935714,2742.23687876,26244.8585822,58572.3372335,32864.2613944
78,213.731461333,188.381448,183.701488,5756.91089498,8934.45480409,8737.35381325,36206.5759911,41662.5256796,13472.7919527
79,204.042614693,111.215112444,78.2232953523,1416.73318249,5341.62387356,3012.79647502,64006.1942002,79152.9530024,32446.1306014
80,99.6718676056,92.1009887324,90.1546647887,4656.34697984,4249.21684635,4170.02796049,11095.5097224,17072.6765037,9288.89665138
81,170.073136294,115.876094946,114.491258806,5076.41567712,9495.69266898,10036.4979481,52221.6215183,55187.3359839,10614.3087858
82,137.380050667,109.190077333,81.540504,7046.22510016,6159.09926527,4035.67273276,19592.0574213,38668.3619513,20407.9716778
83,179.670327654,151.282285714,140.055845347,3084.57446162,4675.06831478,2716.97955758,29144.0236069,27012.1916734,16679.7849806
84,41.6440755245,44.9301482517,42.1593006993,3053.60835833,3222.91641304,2963.27919392,10464.8313412,13887.9472565,5606.27362871
85,129.465202667,95.6360906667,119.674944,5032.33573848,3820.965762,6130.0338106,40791.6470003,51529.1965685,30746.0702855
86,83.547032,112.183005333,124.840154667,6818.09527599,5060.31362105,5245.72019347,31686.8493227,47211.5571974,17126.4940078
87,186.894621333,145.183226667,130.210885333,5784.71830067,7919.13973999,6730.97426871,40366.2851276,52008.8442575,22715.6974359
88,72.8602426667,66.114336,68.925992,6593.35975589,6175.93965261,6108.07409348,9215.81331191,13590.8352944,6545.04125273
89,143.810565333,131.584578667,132.863066667,12637.5337838,13571.7134971,13214.6097026,21883.7831967,22059.5086981,4740.21318086
90,72.1457786667,63.9189146667,57.592672,8376.18394058,6901.59683584,5792.6919879,17670.7912104,26181.5224347,13273.0883746
91,55.7742906667,44.516768,31.2313413333,6692.48508996,5002.4668655,3231.25478785,17839.1698518,35436.5088574,21145.8601859
92,158.351866667,159.871312,139.687408,4736.12559252,4091.4089434,4966.62709157,4991.21548323,42964.0503212,39110.0800306
93,178.319488,148.67612,153.198941333,6121.52140475,9440.50413908,9057.18227568,41357.595034,42410.3862633,10077.4783552
94,106.375354667,88.8582853333,52.0312213333,8402.90373821,6177.79346095,2703.2963639,21265.1968013,51286.0003705,35447.5321708
95,55.080696,82.258872,86.7358986667,4942.73983749,6593.11215595,6697.48514115,22635.0667328,25670.0254577,3597.04559326
96,230.296448,213.5954,211.199448,3914.14824658,7308.05213617,7838.31647383,33114.1507667,35447.3657837,6227.71611427
97,30.6270933333,28.078664,26.9704453333,3543.97670062,2888.39666264,2549.65543319,10946.4891632,17220.8658029,6917.03028763
98,157.326264,126.834253333,106.935442667,8677.3666958,8206.62464804,4397.71974435,34601.2824329,59139.7287447,44116.5561213
99,25.6500828729,23.4223370166,35.2205248619,977.06893922,900.950366251,1388.32404282,4894.84218336,7950.04830174,11500.9429179
100,148.565973046,163.620115903,183.67596496,5185.86526481,4335.34579858,6161.53762932,25120.8900519,52150.7163805,27608.4209979
101,57.9602390999,46.6438874824,40.2370126582,2678.38567364,1511.21716137,1433.36779124,17566.8987303,21977.231104,6759.36920134
102,114.919823353,109.785526946,116.577706587,5482.64347889,5091.74062406,6656.53829103,23905.7703704,47630.2437428,26568.6840848
103,84.463376,91.120384,71.0962853333,5534.91909602,5080.07628103,4397.99742513,14109.7043201,35839.7107271,26921.3286633
104,200.519544,169.322997333,154.330082667,4197.4656447,6858.20373672,10019.7106001,39033.6490608,57131.2946116,18445.2628878
105,95.1340133333,119.296013333,122.358952,7053.28133376,2931.09825077,3677.57248413,42510.1327686,65454.1185412,28182.5428945
106,133.054865629,81.7682998586,85.5616322489,6214.18175072,5611.77359652,6157.54849284,43825.8101922,49000.4871813,11553.834991
107,59.7965946667,73.3729226667,85.8984693333,7151.52088494,5786.70310468,5593.04046486,21568.4400688,36768.3857546,15987.3980372
108,215.748837945,203.254632411,195.162695652,3711.9475474,5413.01395812,5679.71624686,21819.0547687,28451.0715615,9827.43109872
109,89.807992,65.381248,61.6898986667,7823.30438893,6033.8352793,5666.19214116,31079.3001369,42060.6134168,16651.440178
110,55.7059093333,28.8533573333,24.3167573333,6662.32651335,3353.88426393,2996.94039546,35318.0236848,40212.6138171,6917.6113652
111,209.671198433,184.15832376,163.63870235,3474.9181689,5080.25705369,7920.51604103,37727.4074248,58753.3094557,25572.8250493
112,176.809933333,145.406976,144.081474667,6492.29426666,7647.49480254,7929.12857521,31206.6429306,40972.6258617,19483.1997629
113,35.9293551136,29.6204176136,46.9326420455,2354.74225646,1341.46505073,1595.09500836,15222.6439885,26699.7900554,16843.9181012
114,126.927664,123.288253333,117.319576,5598.75827684,3703.59496602,2981.63217785,23633.5708051,43285.3441363,23483.9849259
115,62.038984,39.2785866667,26.7552213333,5807.30869091,3060.4359308,1911.14461674,22393.6980644,34936.1114751,13468.8715934
116,207.409757333,158.101184,25.2142986667,5189.16803759,3700.9063218,3020.72738808,36118.147087,124505.768352,91861.4255605
117,65.8924886515,49.5241682243,38.9842189586,5457.53871367,3657.17804607,2771.30403934,22733.5724865,33236.866534,12756.4267332
118,52.0953093333,40.1538986667,34.3474666667,6836.40641213,3915.84670987,3994.70037625,31560.7565657,35929.5155687,5944.07553788
119,107.588458771,67.8423268366,52.9434992504,7603.50342242,5654.26860844,4627.91588713,32188.9910218,44181.554907,14521.9030089
120,129.311915493,92.9256286812,57.2402791293,3991.74158965,2762.97058158,1393.10709308,35892.3940829,60537.8137531,34034.4692481
121,137.240359844,130.796341591,127.548724902,6383.88040185,6552.84624424,6506.42602484,19597.1672188,18959.6883413,12991.1781221
122,193.819634667,146.448317333,128.986194667,4261.52038835,4336.47055557,3962.20655341,34034.9107535,46309.0681616,14974.1875907
123,41.7818083671,121.014809717,177.201476383,4341.86963398,4126.47593992,2297.34603345,55836.849347,88625.0954471,37136.6588427
124,74.153912,59.4378346667,41.6763066667,10618.0921431,7655.70435947,5628.25862796,32070.4388651,52734.0594303,32355.3649184
125,112.766290667,89.1433093333,81.4909573333,12552.3363319,12027.0306171,11305.8355609,32923.0834826,40395.6995979,15205.0800064
126,163.25635724,153.191060893,153.552159675,5684.5893608,5818.02784486,5788.28356083,18368.8135981,17013.2811944,2765.10614624
127,107.818912,132.906186667,150.070352,6139.7781778,5626.85520439,7107.4844266,31077.3656541,52351.6714728,21827.1644517
128,205.848112,189.836658667,169.397008,4396.85202337,5485.69338628,9117.05593131,20380.2037527,45971.4485523,25711.0361324
129,90.8233413333,79.705544,75.855392,6266.71782905,4379.31917566,3866.54792053,17819.1324705,25404.8012195,10006.0992899
130,36.0348773333,25.0522506667,9.50990666667,5845.08782624,3324.78442187,565.763283191,18035.8289247,43154.2046619,30704.5614689
131,155.577488,119.48932,91.1772613333,4847.33242761,3097.4076246,2592.60174909,32268.7927106,54900.3213561,24549.6500993
132,171.451653333,36.88236,55.10704,4280.88251593,4719.2129315,3610.70526777,95595.8187527,82755.7841483,15220.6799125
133,141.633904628,132.72398878,95.0404964937,8358.60668386,5106.50117545,6562.2646742,49472.2822498,85091.8946786,53921.3014216
134,88.415368,68.235584,58.8976053333,7506.63763742,6299.31713485,5494.36572333,20453.8613225,34480.018953,16999.0720923
135,161.981317333,151.122458667,141.193546667,5961.19109629,6345.97203854,6628.77226235,15899.2102949,22795.9939902,10376.1921725
136,84.408180536,84.2743836389,62.6655712271,7958.57003745,6764.83191531,5436.07868772,16536.4890772,30190.2509927,20740.1577622
137,38.0381653333,32.7297813333,30.7463306667,5633.27373807,4403.49020854,4045.35592387,8069.13465001,10244.4684586,2712.93383627
138,151.123258741,128.336674126,115.605395804,4483.12055833,5591.44573025,4704.12218123,24172.529698,27982.4588627,12011.0979515
139,126.884272,134.961608,130.344133333,9655.54405236,8112.63690205,8714.08455358,30167.6292241,51921.0964252,28554.3071182
140,48.796936,43.980528,44.8112373333,8117.54008501,7634.60775951,8027.29155266,15742.2258591,17785.902423,2979.12671768
141,201.491348837,178.603138167,178.228694938,6596.84914814,7631.3425472,7256.80118153,30856.2440521,35343.9985287,18792.0787301
142,206.971114667,186.751397333,156.439613333,3576.51105364,3458.06215405,3393.42297745,14034.9194511,35022.4840781,21332.5978024
143,56.9714906667,105.850090667,92.1461386667,4294.82889655,3723.25732453,4015.97680882,48580.4879247,54045.054029,22846.7962743
144,78.4441866667,61.5874346667,55.4858933333,9117.15412754,4063.39433385,2555.01630767,34414.6416805,45572.2955972,18235.1476002
145,196.744770667,166.551538667,153.608869333,2031.38295665,2712.68886377,3121.1280248,29104.465946,36029.7395078,13424.6709829
146,48.1452080344,40.3676212339,39.3727977044,6122.96094332,4847.11359494,4540.15480666,21160.0860348,24180.128639,7778.77085406
147,138.939758847,117.304220183,104.617221494,5310.94061216,8213.94823121,6184.61378992,19715.0668779,25877.3308515,18967.0661411
148,113.602245283,96.6992614555,79.2696549865,7713.93977232,5971.00460215,3614.56915142,17198.1570815,31571.1204267,17241.3570232
149,147.229112,129.283064,116.592464,6545.47286502,5874.27487477,5899.28589308,36944.3638733,44156.2950778,15457.9289363
150,69.1814826667,61.6671493333,61.4866826667,5698.49916538,4538.1876611,4524.43930532,22100.4701534,26675.0822304,10958.0464956
151,122.26292,112.524050667,77.862576,4444.31528107,3732.3210269,2423.84030398,21485.769942,33724.1177349,26351.2482247
152,184.562644068,177.86879661,161.409677966,5521.22044295,5827.86180262,6781.45394363,23308.2575925,49393.6632778,38387.6450697
153,13.8140569715,24.9704467766,24.178077961,1490.05162609,2762.42384625,2569.27645316,15295.5172518,14355.9395025,3079.88035482
154,150.780826667,85.7251786667,87.1302026667,10185.5106884,9485.64137457,9357.16442327,60275.2631351,59044.1110357,3012.42427291
155,162.063717333,127.110386667,59.04588,5354.58379077,3993.91455345,1747.72975903,28023.9337531,71972.5616954,47546.4515816
156,101.850621333,108.407858667,70.0184826667,7656.14498468,6726.68442731,4028.59160239,29510.0497458,43841.4777579,45408.7782703
157,121.163973333,82.1835733333,44.784072,9905.73119275,5271.40937816,1970.8218631,34798.4588164,64715.5423604,33632.6894405
158,30.9529493333,42.1505306667,81.371816,2920.59462357,3112.79606319,7060.6598942,11909.9215363,45934.999151,34987.8410023
159,114.331906667,69.3446826667,21.2800986667,12644.74535,7340.35605786,903.839584737,45884.6794366,81379.6436832,51551.2830781
160,209.151437333,193.436906667,85.2386373333,3679.7740134,4747.69112323,5966.97868156,21316.0850768,91449.1317619,82755.7254394
161,118.440773154,110.185651007,111.630821477,5589.22086534,5408.62814578,1491.39288037,6530.26270528,33351.8807416,32132.8174613
162,84.409568,62.820704,43.3742,9384.00254205,7963.80805028,5456.33184903,21068.0789347,39176.8513411,21926.754183
163,124.901826667,97.462672,92.1654506667,7616.86234333,8807.80912929,7833.48334074,31917.9923711,32736.3723555,7644.44307978
164,35.4557681564,17.400027933,21.6393910615,4497.74445137,2119.05521788,2123.97796119,27430.3759179,23075.7095449,6945.37198428
165,110.629410667,58.7994026667,30.2791626667,6921.03546621,3927.30618738,2587.05840954,40989.3990807,64450.8584039,26115.1660535
166,172.12936,153.228589333,154.048248,8957.08287132,11616.9128429,11504.9960108,25537.5886685,32563.0137887,18976.0840534
167,122.238869333,93.670296,72.094536,10997.0707601,9240.65804994,7288.38798828,31987.7125003,46359.7205017,21947.1062329
168,213.569117727,166.04626793,130.83920433,2585.75493316,6555.15435725,5750.37201755,40061.9886301,58194.2649838,26942.0407171
169,194.999552,165.524789333,146.317058667,6042.82868247,8797.63512949,9466.4753378,31434.313258,46729.802407,21014.336749
170,118.547002667,113.372112,120.122352,3214.49085208,4461.43555399,7877.66242199,35317.2642768,56681.6834612,26559.617053
171,166.585922667,166.438973333,166.181568,12461.922596,12501.5041637,12516.5071984,2563.38916281,2497.16779572,721.797062892
172,132.91825034,24.4192680272,25.7479863946,6932.73213876,3683.75468235,2468.83239935,82897.1779134,80718.5357152,18431.899251
173,203.075709333,170.962250667,135.117701333,3377.9840841,5816.52663365,7874.3190744,35185.0387097,60434.66746,33256.0733701
174,126.838082667,112.751722667,90.5130666667,7312.85187078,6220.93583037,4422.3542346,21939.4609551,38069.1718455,21378.7379889
175,91.6806426667,109.499341333,62.8464266667,9280.53202956,10094.2099036,7175.66960456,20711.6624635,37762.4713572,49080.7270627
176,107.401285333,56.78892,43.227696,9155.55327408,3488.24841323,1790.7005812,44368.2988292,58188.6318966,16498.4484422
177,62.6187196653,45.4812719665,45.0044714086,5264.14639379,3051.22547074,3104.24260483,22119.3807101,28273.1941952,15050.713704
178,105.460402159,121.702909582,146.773414305,1980.52477209,2287.79777237,4479.38577093,14594.9201094,39751.8555668,26607.5967724
179,148.536983287,140.834206128,150.14775766,5718.86341775,6946.28272966,6664.7196635,14955.958779,34513.0507779,26984.8501015
180,129.651994667,108.094506667,108.006024,5638.56280162,5512.20924449,4388.28707038,29369.4715308,31381.023135,27234.7894246
181,141.660690909,132.134606993,124.35768951,12236.5268749,11782.6366949,11946.9533841,17096.3480018,28872.0041043,13282.2704384
182,173.039481481,164.626246032,154.409060847,6287.44263169,6262.79972332,8301.41529621,29169.9061877,44749.9028044,19922.2219142
183,126.257522667,117.778125333,113.494178667,4698.46849008,4332.98365963,5050.45425411,10663.1146482,22939.7611147,13139.1032419
184,137.710216,125.540629333,109.154648,5983.17278523,5353.71684526,5431.195404,25626.0450519,63282.8187899,49255.0332961
185,98.4326906667,68.566232,52.3271173333,8112.64721345,5744.29411466,1902.64942358,30511.2827983,47583.1388624,30774.5749605
186,84.7082853333,35.468888,48.5631253333,5565.02751855,2136.26254671,2681.52943386,56491.7864118,58057.667392,11391.4772089
187,107.31592562,92.9290137741,80.6528071625,6125.30688246,6429.57660834,6211.49709625,23436.8064164,34958.1962635,21233.7676591
188,179.184597333,157.572877333,135.463890667,4394.36278782,6054.55082223,6466.12146412,28816.7127376,45192.6188996,33294.081426
189,124.473264,122.986706667,116.387805333,10103.5033865,6829.97428462,6730.97597236,30221.5001117,50765.446861,23846.6783431
190,141.372248,125.474642667,133.764576,10217.9569168,10337.2348877,9983.68053287,25473.8394436,33889.4368351,16271.0310982
191,182.948914667,14.3291786667,10.540152,9365.99034229,2001.14698541,797.88781715,120300.904556,121091.394418,11067.1086107
192,125.289498667,116.283061333,86.9234133333,6182.93492652,4252.00008428,3962.45566515,24344.4267955,32378.7856783,24596.4077458
193,94.275112344,80.6333092926,86.6593925104,2561.77521472,2311.68903862,2661.80909333,13492.3931161,22415.7315964,15047.6633734
194,110.281770667,112.839538667,76.38508,8353.86626929,7843.67245749,6348.98757739,14650.1791457,40827.6053792,38441.3833778
195,227.189230352,222.786794038,221.620466125,3752.25819187,4937.1659443,5008.6004852,11870.8706926,11869.9521482,2540.61075334
196,184.776502116,142.877729196,110.49764457,4443.08601485,4983.78588765,4383.6515685,30310.900498,49998.4283053,21494.0535498
197,207.357776,203.079157333,192.201704,5190.559863,3275.85709945,2987.99168083,21171.3636783,33857.4301594,14974.3044914
198,148.275565333,127.903709333,76.8022826667,4395.76709575,3337.53938677,5978.96527586,21311.6010192,66576.7571529,48466.8445125
199,168.745093333,152.545592,123.511157333,10183.8039879,10833.2225347,10806.0593475,22369.6699797,45998.1662026,30250.5259954
200,68.4038506667,64.9111226667,57.6751973333,2495.80895797,2557.87959149,1598.80568989,9032.37549042,19812.6893934,23811.4171355
201,125.989863248,116.850586895,88.6698945869,5970.84739582,3851.02172701,2647.91424124,39019.859969,52615.7989106,39225.1823833
202,29.419416,39.1087573333,49.8915973333,2782.86061555,3573.19257718,5015.06966486,17931.5867954,25818.8059755,10662.214451
203,58.1335973333,24.1378773333,14.4859253333,6022.39258109,2852.29017917,1598.48273524,32340.0182591,46068.4361467,19138.8107259
204,40.0603093333,34.890816,32.31112,4249.69115745,3407.39998819,3025.70751368,7923.42287146,11526.5709558,4455.54889997
205,53.9001857143,52.4880171429,42.2951885714,3768.77809139,2836.44165641,1577.26825799,8102.08720022,20726.1710646,14236.213963
206,118.031864,137.930488,114.270581333,6606.01895535,6387.07455208,6041.66084441,23527.24442,5167.61076321,23137.6387084
207,116.704016,23.810768,19.498344,5671.64043614,2982.16895925,2905.53512792,70460.7013164,73954.8173617,6107.96029784
208,160.726362667,114.299909333,105.0796,5593.07904261,5617.76084373,6333.31795184,50656.0287034,60708.0928872,12789.5075746
209,165.208250667,148.488712,155.553789333,8200.91518633,8717.10561658,8664.92567737,31613.2750755,42353.0887303,17277.1516171
210,176.916126255,150.503010043,135.499652798,7973.96538987,9389.96956626,8902.1820917,26425.5865971,34253.1621168,11981.7063059
211,106.190286452,97.9234012903,80.6800516129,7793.11586849,5551.5770849,4625.87203819,27991.8949341,38642.2442154,20361.6722791
212,156.442287729,118.601455571,99.4714188999,4243.48361711,4111.55465176,4274.70347931,26464.9903646,43716.8101421,21211.0150158
213,88.8375371669,79.0027601683,98.6281795231,7205.47796487,5893.20740893,9436.5546752,31158.3189213,51606.6863304,26288.1241248
214,160.478184,178.476090667,145.195368,3632.81816406,4927.38662301,3940.31065534,39607.0956395,35755.2770371,28376.1323122
215,136.211144,137.663034667,140.375890667,8753.15898888,8684.8905557,8734.96540221,9475.22817667,12558.9817262,4946.75843356
216,155.405301333,63.820368,96.8807946667,3392.9407975,4412.10122034,3774.72855276,62173.1416932,52421.9197092,42022.9572258
217,88.5815546667,102.807069333,77.7612933333,5989.48882617,4763.27731909,3575.27319246,23113.2894241,37577.7865234,25776.3890411
218,149.915336146,92.3137749648,79.868559775,8669.3265648,7181.90104738,5281.81349984,53866.4628039,64196.7282422,25221.3739911
219,141.2364,80.4672133333,76.9818826667,6786.39994971,6154.8631597,5728.4204931,54192.0078148,55708.5059573,7638.61080302
220,107.408365333,83.292224,84.820792,5942.84345909,3546.16993847,2812.79045783,25725.5782637,31946.1518809,12140.926365
221,129.04456,59.0916933333,50.5028746667,3901.13398241,4328.67754167,3012.83727174,50122.5093446,55964.2730141,20872.103847
222,150.78672346,125.215724771,104.803711664,5834.41016449,6683.71739729,6390.70016552,24229.982047,45519.2008827,31754.3770369
223,181.422162667,184.242304,186.188216,7758.71645335,7517.14548077,7279.93330274,2962.52105478,4828.61180879,2164.59672919
