,budget,director,genres,id,keywords,overview,popularity,poster_path,releaseyear,revenue,runtime,title
240,8000000.0,Spike Lee,"[{u'id': 35, u'name': u'Comedy'}, {u'id': 18, u'name': u'Drama'}]",20912,['independent film'],"Fired from his job, a former executive turns to impregnating wealthy lesbians for profit.",0.263594,/gfJOCHFQnhkmXy7pCnOxANeYm2k.jpg,2004,365134.0,138.0,She Hate Me
241,0.0,Sean Grundy,"[{u'id': 28, u'name': u'Action'}, {u'id': 35, u'name': u'Comedy'}, {u'id': 53, u'name': u'Thriller'}, {u'id': 99, u'name': u'Documentary'}]",24440,"['usa', 'capitalism', 'british empire', 'petrol', 'hegemony']","Stand-up comedian Robert Newman gets to grips with the wars and politics of the last hundred years, from WWI through to the 2003 invasion of Iraq; but rather than adhering to the history we were fed at school, this show places oil centre stage as the cause of all commotion. This innovative history programme is based around Robert Newman's stand-up act and supported by resourceful archive sequences and stills with satirical impersonations of historical figures from Mayan priests to Archduke Ferdinand.",0.000906,/pBKlJds7E8KoyqFa4iYoTG1XgUg.png,2006,0.0,46.0,Robert Newman's History of Oil
242,0.0,Ingmar Bergman,"[{u'id': 10752, u'name': u'War'}, {u'id': 18, u'name': u'Drama'}]",26372,,"Ingmar Bergman's psychological study of how humans react in a situation of war. The film takes place on Gotland, where invasion forces arrives.",0.486178,/6AWXQYHEJicwhPfsDf250D4XHjW.jpg,1968,0.0,103.0,Shame
243,0.0,Nadia Tass,"[{u'id': 35, u'name': u'Comedy'}]",16217,['woman director'],"Danny wants two things in life more than anything else, one is a Jaguar and the other is Joanna Johnson. After Danny is conned into trading his Nissan Cedric for a 1973 Jaguar, he plots to win Joanna and get revenge against the sleazy car dealer Gordon Farkes.",0.207418,/qatFgJYN1uhXIhvyaASLsNPOKOq.jpg,1990,0.0,99.0,The Big Steal
244,0.0,Bruce Kessler,"[{u'id': 27, u'name': u'Horror'}, {u'id': 10770, u'name': u'TV Movie'}, {u'id': 53, u'name': u'Thriller'}]",28381,,"An Egyptian sarcophagus that is cargo on a pleasure cruise ship has a secret - it contains the son of Satan, and its effects start to make the ship's passengers behave strangely.",2e-06,/3pSMMVB4yPHZcaFZ7pMdRuwoJEE.jpg,1978,0.0,100.0,Cruise Into Terror
245,0.0,Richard Stanley,"[{u'id': 18, u'name': u'Drama'}, {u'id': 10402, u'name': u'Music'}]",29395,"['suicide', 'depression', 'homeless person', 'suicide attempt', 'amnesia', 'paranoia', 'homelessness', 'musical', 'marillion', 'psychopathy']","Cult director Richard Stanley brings Marillion's music to the screen in the 50-minute BRAVE. A teenager believed to be suicidal is discovered wandering near the Severn Bridge. Suffering from severe memory loss, she seeks information about the mysterious events that led to her condition. This work of fiction was inspired from the true story of an amnesiac woman found at the bridge.",0.100593,/vcyL5lBzTtLKPvNng2QcScAAMei.jpg,1994,0.0,58.0,Brave
246,8000000.0,Stuart Gordon,"[{u'id': 28, u'name': u'Action'}, {u'id': 53, u'name': u'Thriller'}, {u'id': 878, u'name': u'Science Fiction'}]",12088,"['prison', 'cyborg', 'married couple', 'future', 'dystopia', 'escape', 'population control']",A futuristic prison movie. Protagonist and wife are nabbed at a future US emigration point with an illegal baby during population control. The resulting prison experience is the subject of the movie. The prison is a futuristic one run by a private corporation bent on mind control in various ways,0.504482,/nzLFgdPTCmkDXZGFuTsgKGG6oo0.jpg,1992,6739141.0,95.0,Fortress
247,0.0,David Furnish,"[{u'id': 99, u'name': u'Documentary'}]",17916,,"Unprecedented access into one of the world's greatest musical talents and his larger than life lifestyle: Elton John. With frank, funny, and touching filmmaking, this documentary is a fascinating and honest look at the complex character of a modern day composer and performing artist.",0.000501,/pqGvgkfHEvelaBC0ZM4wftOA5co.jpg,1997,0.0,74.0,Elton John: Tantrums & Tiaras
248,0.0,Liu Chia-Liang,"[{u'id': 28, u'name': u'Action'}, {u'id': 10769, u'name': u'Foreign'}]",19156,,"Legendary Weapons of China is a martial arts fantasy film taking place during the late Qing Dynasty when Empress Dowager Cixi dispatches her agents to various factions of the Boxer Rebellion in order find supernatural martial artists that are invulnerable to western bullets. When one of the leaders of these groups disbands his forces, assassins from the remaining factions are sent out to kill him.",0.242823,/5m8tW7LkVkUBt5WnhDLFQgcmVQy.jpg,1982,0.0,109.0,Legendary Weapons of China
249,0.0,Philippe de Broca,"[{u'id': 14, u'name': u'Fantasy'}, {u'id': 35, u'name': u'Comedy'}, {u'id': 12, u'name': u'Adventure'}]",20220,"['hero', 'magic', 'nudity', 'wife', 'adventure', 'lamp', 'king', 'journey', 'genie']","Sheherazade (Catherine Zeta-Jones) has been married to a ruler (Thierry Lhermitte) who wants many wives, but only one at a time. Consequently, as soon as he has bedded them, he has them put to death. In most retellings, the girl staves off this unfortunate conclusion by putting off the connubial event for a thousand and one nights, telling irresistable stories instead. In this one, she gets hold of a magic lamp.",0.050271,/oKQG8sYdRgHybEDjMeBHMG0KlZ3.jpg,1990,0.0,98.0,1001 Nights
