,budget,director,genres,id,keywords,overview,popularity,poster_path,releaseyear,revenue,runtime,title
2691,15000000.0,Woody Allen,"[{u'id': 35, u'name': u'Comedy'}, {u'id': 10749, u'name': u'Romance'}]",19265,"['love at first sight', 'runaway', 'age difference', 'naivety', 'christian', 'marriage', 'atheist', 'misanthrope', 'eccentric', 'religion', 'dating', 'new york city', 'older man younger woman relationship', 'limp']","Whatever Works explores the relationship between a crotchety misanthrope, Boris and a naïve, impressionable young runaway from the south, Melody. When Melody's uptight parents arrive in New York to rescue her, they are quickly drawn into wildly unexpected romantic entanglements. Everyone discovers that finding love is just a combination of lucky chance and appreciating the value of ""whatever works.""",1.79501,/mGL6OgyBsrcoB4lnJNYvyqHrUYa.jpg,2009,0.0,92.0,Whatever Works
2692,4000000.0,John Sayles,"[{u'id': 18, u'name': u'Drama'}]",24276,['independent film'],"Filmed in the coal country of West Virginia, ""Matewan"" celebrates labor organizing in the context of a 1920s work stoppage. Union organizer, Joe Kenehan, a scab named ""Few Clothes"" Johnson and a sympathetic mayor and police chief heroically fight the power represented by a coal company and Matewan's vested interests so that justice and workers' rights need not take a back seat to squalid working conditions, exploitation and the bottom line.",0.064647,/kFFYseXqiKrAqs4JJyqlayO6hHS.jpg,1987,1680358.0,132.0,Matewan
2693,20000000.0,Iain Softley,"[{u'id': 28, u'name': u'Action'}, {u'id': 80, u'name': u'Crime'}, {u'id': 53, u'name': u'Thriller'}, {u'id': 18, u'name': u'Drama'}]",10428,"['female nudity', 'hacker', 'nudity', 'computer virus', 'virtual reality', 'computer', 'sexual fantasy', 'prank', 'internet', 'cyberpunk', 'new york city', 'teenager', 'secret service', 'computer hacker', 'dream sequence']","Along with his new friends, a teenager who was arrested by the US Secret Service and banned from using a computer for writing a computer virus discovers a plot by a nefarious hacker, but they must use their computer skills to find the evidence while being pursued by the Secret Service and the evil computer genius behind the virus.",2.209287,/hNjxJbejPHSmKVidHQ9ZHaC0Z7r.jpg,1995,7563728.0,107.0,Hackers
2694,1100000.0,Stefan Scaini,"[{u'id': 18, u'name': u'Drama'}, {u'id': 10751, u'name': u'Family'}]",25180,,The continuing adventures of Anne Shirley in New York and in France during World War I.,0.447825,/dj3cHmcLF1Dunk2jdsEWp5V23u8.jpg,2000,0.0,180.0,Anne Of Green Gables: The Continuing Story
2695,0.0,Chris Bell,"[{u'id': 99, u'name': u'Documentary'}]",13636,"['american dream', 'american  way of life', 'steroids']","In America, we define ourselves in the superlative: we are the biggest, strongest, fastest country in the world. Is it any wonder that so many of our heroes are on performance enhancing drugs? Director Christopher Bell explores America's win-at-all-cost culture by examining how his two brothers became members of the steroid-subculture in an effort to realize their American dream.",0.156851,/vnM7u7U9d32eukdjc7icEVKXie8.jpg,2008,307811.0,105.0,Bigger Stronger Faster*
2696,0.0,John Maybury,"[{u'id': 18, u'name': u'Drama'}, {u'id': 36, u'name': u'History'}, {u'id': 10749, u'name': u'Romance'}]",14061,"['biography', 'poet']","Two feisty, free-spirited women are connected by the brilliant, charismatic poet who loves them both.",0.740457,/llmtWI97rUldX2Z47F03o1G9aqB.jpg,2008,0.0,110.0,The Edge of Love
2697,750000.0,Craig Clyde,"[{u'id': 18, u'name': u'Drama'}, {u'id': 10751, u'name': u'Family'}]",19183,,An alcoholic former horse-trainer perceives in a fifteen-year-old boy a unique gift of horsemanship and makes it possible for the boy to conceive his dream and pursue it.,0.138645,/nsavmYtRWUF5uG9QUXAHuRXJ5V1.jpg,2005,4000000.0,98.0,The Derby Stallion
2698,0.0,Tony Montana,"[{u'id': 99, u'name': u'Documentary'}]",27007,,"Alternately hilarious and horrifying, Overnight chronicles one man's misadventures of making a Hollywood movie. It starts out as a rags to riches story as Troy Duffy, a Boston-bred bartender, sells his first screenplay for The Boondock Saints.",0.024253,/1JlqbeoDqRbWht0eAqMqD9jPJsJ.jpg,2003,0.0,82.0,Overnight
2699,0.0,Vladimír Michálek,"[{u'id': 18, u'name': u'Drama'}]",25901,,"Vladimír Michálek chose an unconventional adaptation of Franz Kafka's novel for his feature debut. Artistically reminiscent of the classic films of Karel Zeman, the director reinterpreted this dark story of a man vainly seeking a place in a rigidly ordered society by changing the desperate conclusion into a happy end. The film provided Czech comedian Jirí Lábus with a new kind of role: that of the despotic uncle of a main hero Karel Rossman (Martin Dejdar).",0.071289,/gTmbvIBP0WLCveAGIj5FqcHnJ57.jpg,1994,0.0,90.0,Amerika
2700,0.0,Tibor Takács,"[{u'id': 27, u'name': u'Horror'}]",29556,,"The Brookedale Psychiatric Hospital is a crumbling institution which barely has enough money to remain open. Formerly a prison, it sits atop a warren of tunnels and sewage system viaducts. But Brookdale has a secret - a secret known by only one person. There's something living in the tunnels - something that's developed a taste for human blood...",0.01049,/lvJnzt3wyylJdB79lG2jG6L9w58.png,2003,0.0,92.0,Rats
2701,0.0,Basil Dearden,"[{u'id': 80, u'name': u'Crime'}, {u'id': 18, u'name': u'Drama'}]",27917,"['london england', 'melodrama', 'ealing']","Jewel thieves, murder and a manhunt swirl around a sailor (Bonar Colleano) off a cargo ship in London.",0.348507,/9x3V8vs2MovN2TpLPbIyZq7I1aq.jpg,1951,0.0,85.0,Pool of London
2702,0.0,Steven Hilliard Stern,"[{u'id': 14, u'name': u'Fantasy'}, {u'id': 18, u'name': u'Drama'}, {u'id': 878, u'name': u'Science Fiction'}]",27348,['dungeons and dragons'],"This film was the pinnacle of anti-D&amp;D fearmongering. Bound together by a desire to play ""Mazes and Monsters,"" Robbie and his four college classmates decide to move the board game into the local cavern. Robbie loses his mind, and the line between reality and fantasy fuse into a harrowing nightmare.",0.580355,/lB4BD9QiDff85RBqRdRgVEon72y.jpg,1982,0.0,100.0,Mazes and Monsters
2703,0.0,Alan Johnson,"[{u'id': 35, u'name': u'Comedy'}]",22998,"['world war ii', 'polish stereotype', 'actor']","A bad Polish actor is just trying to make a living when Poland is invaded by the Germans in World War II. His wife has the habit of entertaining young polish officers while he's on stage, which is also a source of depression to him. When one of her officers comes back on a Secret Mission, the actor takes charge and comes up with a plan for them to escape. remake of Ernst Lubitsch's 1942 black comedy with the same name.",0.62642,/hw5RFiojMJu2Qa1Gj6WeupVojqx.jpg,1983,13030214.0,107.0,To Be or Not to Be
2704,0.0,Gerson Sanginitto,"[{u'id': 27, u'name': u'Horror'}, {u'id': 53, u'name': u'Thriller'}, {u'id': 9648, u'name': u'Mystery'}]",14209,"['suspense', 'morgue', 'car accident']","Trapped between the physical world and the afterlife, between dusk and dawn, six strangers, brought together through a series of unusual events, are an enigma to themselves and go mysteriously unnoticed by others. In their futile attempt for survival, they latch on to each other at a desolate mortuary in hopes of making it through the night. There is an astonishing twist in this INTENSE psychological thriller...more is happening at the Morgue than meets the eye.",0.207261,/2TsJXPJiohIp3xCyAxS4MmOeN6x.jpg,2008,0.0,84.0,The Morgue
2705,0.0,Eric Lavaine,"[{u'id': 35, u'name': u'Comedy'}]",27614,,"Emma and Marc, two young lovers, move into a house which has been uninhabited for thirty years. What they don't know is that in 1979, in a cave under the house, there was a gay disco, which burned down when a foam machine short-circuited, and five bodies were never found. Today, the house is haunted by five gay ghosts. However, only Marc is able to see them, and his visions drive Emma away.",0.206766,/53TVxZpvP4ddRqGQFZ0QuXYgp7i.jpg,2006,0.0,93.0,Poltergay
2706,0.0,Dan Golden,"[{u'id': 27, u'name': u'Horror'}]",28744,"['nightmare', 'hospital', 'car accident']","Michelle wakes from an accident with no memory, then she has nightmares and people around her die.",0.126141,/rON6YDCcOOdO2bwEHDfMrchQegC.jpg,2006,0.0,88.0,Satanic
2707,0.0,J. Walter Ruben,"[{u'id': 80, u'name': u'Crime'}, {u'id': 18, u'name': u'Drama'}]",27113,['gangster'],"G-Man Chester Morris poses as a crook to infiltrate the notorious Purple Gang, a band of hoodlums which preys upon other hoodlums. Orchestrating the jailbreak of the Gang's leader (Joseph Calleia), Morris joins him in a Dillinger-like flight across the country.",0.237526,/dJFFjxfDqF2hIoLuV3vqZi41LEi.jpg,1935,0.0,89.0,Public Hero # 1
2708,250000.0,Clay Westervelt,"[{u'id': 99, u'name': u'Documentary'}]",28136,"['female nudity', 'behind the scenes', 'independent film']","In 20 years, he's directed more films than Martin Scorsese, He's produced more profitable movies than Jerry Bruckheimer, And he's infuriated more actors than Alfred Hitchcock. The ultimate B Movie Documentary, focusing on B Movie Giant Jim Wynorski (and B Movie Celebration Mentor) and his attempt to make a feature film in 3 days. He's directed seventy feature films, but he's never made one... in THREE DAYS. Jim cuts the shooting schedule, has the actors cook their own food. A documentary featuring B-Movie legends Roger Corman, Andy Sidaris, Julie Strain, Julie K. Smith and Stormy Daniels, Popatopolis follows Jim Wynorski as he begins to film one of his many opuses ""Witches of Breastwick"" Jim's frenetic pace demands 100 setups per day (the Hollywood standard is 20), and he reduces his electric package to just two lights so he can concentrate on the task at hand.A great overview of a true master at work and in many ways a laser sharp dialectic on the state of B filmmaking today.",0.198711,/4U8y7k5BMz0hVTP0MWGplw6oYjT.jpg,2009,0.0,75.0,Popatopolis
