,budget,director,genres,id,keywords,overview,popularity,poster_path,releaseyear,revenue,runtime,title
0,0.0,Jean-Paul Lilienfeld,"[{u'id': 18, u'name': u'Drama'}]",16277,"['adolescence', 'hostage', 'teachers and students']","A troubled and emotionally fragile woman finds herself at the center of a firestorm, in this gut-wrenching psychological drama.",0.159173,/pqFtrX1t40LzMEBBcWEvh4Fc08w.jpg,2008,0.0,88.0,Skirt Day
1,0.0,Terence Hill,"[{u'id': 35, u'name': u'Comedy'}, {u'id': 37, u'name': u'Western'}]",11175,"['saloon', 'horse', 'brother', 'arrest', 'spaghetti western']",Lucky Luke becomes the Sheriff of Daisy Town and runs out all the criminals. Then the Dalton brothers arrive and try to get the Indians to break the peace treaty and attack the town.,0.136823,/qmUrVZ1jYv766AwqGVwGrqnna3O.jpg,1991,0.0,92.0,Lucky Luke
2,0.0,Steve McQueen,"[{u'id': 18, u'name': u'Drama'}, {u'id': 36, u'name': u'History'}]",10360,"['prison', 'prisoner', 'hunger', 'hunger strike', 'northern ireland']","The story of Bobby Sands, the IRA member who led the 1981 hunger strike in which Republican prisoners tried to win political status. It dramatises events in the Maze prison in the six weeks prior to Sands’ death.",0.834962,/397BUdT1bIt9tICgq7wSbF05Dsy.jpg,2008,2724474.0,96.0,Hunger
3,0.0,Naoko Ogigami,"[{u'id': 35, u'name': u'Comedy'}, {u'id': 10769, u'name': u'Foreign'}]",25656,"['independent film', 'woman director']","Harried and overworked, Taeko (Kobayashi Satomi) leaves the city for a much-needed island vacation. Stepping off a propeller plane onto golden sands, she drags her giant suitcase across the beach to Hamada Inn. Owner Yuji (Mitsuishi Ken) is impressed; it's the first time in three years a guest has made it to his inn without getting lost. The next morning Taeko wakes up to the greetings of peculiar fellow vacationer Sakura (Motai Masako) who leads the townspeople in funny morning calisthenics on the beach. Thus begins Taeko's strange vacation on this strange island full of strange people. At first Taeko finds the laidback attitude and mass idleness hard to bear, but soon she too begins to see the joy in ""twilighting"".",0.065552,/P3HvurbR1Fc3lXNDVQ6ksMZZUP.jpg,2007,0.0,106.0,Glasses
4,0.0,Blake Edwards,"[{u'id': 14, u'name': u'Fantasy'}, {u'id': 35, u'name': u'Comedy'}]",10261,"['macho', 'dying and death', 'reincarnation', 'role reversal', 'resurrection', 'woman', 'body-swap', 'man turned into woman', 'gender swap']","Steve Brooks, a sexist womanizer, is killed by a group of his angry former lovers. In heaven, he makes a bargain with God for redemption and agrees to return to Earth. Once there, he must have a sincere relationship with a female and make her fall in love with him. If not, Steve's soul will become the property of the devil. But the devil hedges his bet, and Steve is reincarnated as a woman named Amanda Brooks.",0.598614,/nrXIpjxXjwoShFeYiDb1aNtpDRl.jpg,1991,0.0,104.0,Switch
5,0.0,Catherine Castel,"[{u'id': 35, u'name': u'Comedy'}]",16675,,A young professional woman takes radical action to force her husband's help with the household chores.,0.001026,/jT3g8Hp1QYvuhYGDWeXZCkxzGIh.jpg,2008,0.0,89.0,48 Hours a Day
6,0.0,Akira Kurosawa,"[{u'id': 35, u'name': u'Comedy'}, {u'id': 18, u'name': u'Drama'}, {u'id': 10769, u'name': u'Foreign'}]",20645,,"The story centers on an elderly hibakusha, who lost her husband in the 1945 atomic bombing of Nagasaki, caring for her four grandchildren over the summer. She learns of a long-lost brother, Suzujiro, living in Hawaii who wants her to visit him before he dies.",0.124305,/413NqJ8Oz5hTNzz2APjHQxFEw6.jpg,1991,0.0,98.0,Rhapsody in August
7,0.0,Jefery Levy,"[{u'id': 35, u'name': u'Comedy'}, {u'id': 18, u'name': u'Drama'}]",29444,"['loss of brother', 'hostage', 'tv show', 'media', 'celebrity', 'escape', 'teenage girl', 'hospital', 'teenager', 'masked man', 'tragic event', 'popularity', 'homecoming', 'tv news']",An alienated and misanthropic teenager gains sudden and unwanted celebrity status after he's taken hostage by terrorists where his indifference to their threats to kill him makes news headlines.,0.454545,/2o9zTDKdC4MHNIYBLgFMpO5ik9o.jpg,1994,0.0,96.0,S.F.W.
8,0.0,Spike Lee,"[{u'id': 99, u'name': u'Documentary'}]",26580,,"On September 15, 1963, a bomb destroyed a black church in Birmingham, Alabama, killing four young girls who were there for Sunday school. It was a crime that shocked the nation--and a defining moment in the history of the civil-rights movement. Spike Lee re-examines the full story of the bombing, including a revealing interview with former Alabama Governor George Wallace.",0.000483,/suGl4GamX8zOXio1PtGhkUutz65.jpg,1997,0.0,102.0,4 Little Girls
9,75000000.0,Ron Shelton,"[{u'id': 28, u'name': u'Action'}, {u'id': 12, u'name': u'Adventure'}, {u'id': 35, u'name': u'Comedy'}, {u'id': 53, u'name': u'Thriller'}]",11375,"['rap', 'hitman']","Joe Gavilan (Harrison Ford) and his new partner K. C. Calden (Josh Hartnett), are detectives on the beat in Tinseltown. Neither one of them really wants to be a cop, Gavilan moonlights as a real estate broker, and Calden is an aspiring actor moonlighting as a yoga instructor. When the two are assigned a big case they must work out whether they want to solve the case or follow their hearts.",0.703082,/10ouLkenwj7xNq5xrJwoRexNJin.jpg,2003,51142659.0,116.0,Hollywood Homicide
10,0.0,John Cromwell,"[{u'id': 18, u'name': u'Drama'}, {u'id': 28, u'name': u'Action'}, {u'id': 9648, u'name': u'Mystery'}, {u'id': 10749, u'name': u'Romance'}]",22657,"['jealousy', 'thief', 'casbah']","Pepe Le Moko is a notorious thief, who escaped from France. Since his escape, Moko became a resident and leader of the immense Casbah of Algiers. French officials arrive insisting on Pepe's capture are met with unfazed local detectives, led by Inspector Slimane, who are biding their time. Meanwhile, Pepe meets the beautiful Gaby , which arouses the jealousy of Ines",0.201335,/rpVytlkawQtsWb9F9KeegTraOew.jpg,1938,0.0,96.0,Algiers
11,0.0,Robert Stevenson,"[{u'id': 18, u'name': u'Drama'}, {u'id': 53, u'name': u'Thriller'}]",27978,['communist'],Communists blackmail a shipping executive into spying for them.,0.190763,/yQCTEk0kzoS9dyhnKbmv33XlVCc.jpg,1949,0.0,73.0,The Woman on Pier 13
12,0.0,Emeric Pressburger,"[{u'id': 10752, u'name': u'War'}, {u'id': 35, u'name': u'Comedy'}, {u'id': 18, u'name': u'Drama'}, {u'id': 10749, u'name': u'Romance'}]",25037,,"General Clive Candy lives through four decades of war and peace - from the Boer War to World War II - trying to stay true to his belief that ""right will always defeat might"" and trying to stay relevant while the world changes irrevocably around him.",0.957183,/v59sVFyekAIlRlOPWVR1zXTpNpf.jpg,1943,0.0,163.0,The Life and Death of Colonel Blimp
13,0.0,Herbert Ross,"[{u'id': 80, u'name': u'Crime'}, {u'id': 9648, u'name': u'Mystery'}, {u'id': 53, u'name': u'Thriller'}]",26331,"['yacht', 'scavenger hunt', 'whodunit', 'ensemble cast', 'murder mystery', 'weekend getaway']","A year after Sheila is killed in a hit-and-run, her multimillionaire husband invites a group of friends to spend a week on his yacht playing a scavenger hunt-style mystery game. The game turns out to be all too real and all too deadly.",0.194924,/t3Zh1kw0mTkvfdCOELrvxS03Hz6.jpg,1973,0.0,120.0,The Last of Sheila
