,budget,director,genres,id,keywords,overview,popularity,poster_path,releaseyear,revenue,runtime,title
0,0.0,Anthony Leondis,"[{u'id': 16, u'name': u'Animation'}, {u'id': 35, u'name': u'Comedy'}, {u'id': 10751, u'name': u'Family'}]",20760,,"Now, we find the rowdy extraterrestrial getting used to life with his new ohana. However, a malfunction in the ultimate creation of Dr. Jumba soon emerges, which reinstates his destructive programming and threatens to both ruin his friendship with Lilo and to short him out for good!",0.951503,/hUmQxcaWdHjwovD1ABrTHbpTcoo.jpg,2005,0.0,68.0,Lilo & Stitch 2: Stitch has a Glitch
1,1800000.0,Lamberto Bava,"[{u'id': 27, u'name': u'Horror'}]",14029,,"A group of people are trapped in a West Berlin movie theater infested with ravenous demons who proceed to kill and possess the humans one-by-one, thereby multiplying their numbers.",0.471403,/pWgxGFAb76rZHNEaMUs6tiAGYqw.jpg,1985,0.0,88.0,Demons
2,0.0,Harry Bromley Davenport,"[{u'id': 18, u'name': u'Drama'}]",27967,,"On November 4, 1970 on The CBS Evening News, Walter Cronkite reported on a true, horrific story that was about to rock the country. A 13-year-old girl was discovered in the small Los Angeles suburb of Arcadia who was still in diapers, barely able to walk and unable to speak. Kept in severe isolation by her parents with virtually no human contact for more than 10 years, she was confined to her bedroom, tied to her potty-chair and left to fend for herself.",0.0039,/u4sCep7na93XDKh1R9YLP8ZtRCk.jpg,2001,0.0,98.0,Mockingbird Don't Sing
3,343000.0,Delbert Mann,"[{u'id': 18, u'name': u'Drama'}, {u'id': 10749, u'name': u'Romance'}]",15919,"['butcher', 'marriage', 'love', 'teacher', 'italian american', 'crying', 'overbearing mother', 'dance hall', 'old maid']","Marty, a butcher who lives in the Bronx with his mother is unmarried at 34. Good-natured but socially awkward he faces constant badgering from family and friends to get married but has reluctantly resigned himself to bachelorhood. Marty meets Clara, an unattractive school teacher, realising their emotional connection, he promises to call but family and friends try to convince him not to.",0.821294,/ml29uk3ROm8rgaXfsMvp96z0C6G.jpg,1955,3000000.0,90.0,Marty
4,0.0,Marc Willard,"[{u'id': 35, u'name': u'Comedy'}, {u'id': 10749, u'name': u'Romance'}]",23768,,"A man comes to the city from a village in search of his lost brother, he gets involved in clashes with gangsters and also falls in love with a beautiful girl. Whether he is successful in locating his brother or not forms the essence.",0.000762,/eQNLwbB7vWsVvWh6eyDLR0csgpg.jpg,2003,0.0,70.0,Pista!
5,0.0,Arthur Allan Seidelman,"[{u'id': 18, u'name': u'Drama'}, {u'id': 27, u'name': u'Horror'}]",29214,"['artist', 'psychic', 'nightmares', 'past lives']","An artist is plagued by nightmares of a love triangle and murder. A psychic says the dream figure is his brother, a ""troubled soul"" from an ancient past life. Nearly born as his twin but miscarried, this past life rival now breaks through in nightmares in attempt to repeat history.",0.211875,/wNBFKl2qZPScFxxdOYtFODmEGLt.jpg,1982,0.0,89.0,Echoes
6,0.0,Chris Eigeman,"[{u'id': 18, u'name': u'Drama'}]",13993,['independent film'],A pool shark takes the ultimate gamble when she kidnaps her own son and flees her ex-husband.,0.08777,/t01IZjzaAmvIOnZE5DQefcLyWh6.jpg,2008,0.0,92.0,Turn the River
7,0.0,Kevin Jordan,"[{u'id': 35, u'name': u'Comedy'}, {u'id': 18, u'name': u'Drama'}]",28554,['independent film'],Giorgio's Lobster Farm has been a tradition in Brooklyn for over 65 years. Manned by an eccentric crew and serving the best seafood in the state,0.001889,/y3SNx7fzJG1RXf6cot9Wwc0M6oB.jpg,2005,0.0,94.0,Brooklyn Lobster
8,28000000.0,Kenny Ortega,"[{u'id': 35, u'name': u'Comedy'}, {u'id': 10751, u'name': u'Family'}, {u'id': 14, u'name': u'Fantasy'}]",10439,"['witch', 'halloween', 'salem', 'trick or treating', 'spellcasting']","After 300 years of slumber, three sister witches are accidentally resurrected in Salem on Halloween night, and it us up to three kids and their newfound feline friend to put an end to the witches' reign of terror once and for all.",0.763567,/okCXNIX9QXNXbWM9NBnKlMpYVBd.jpg,1993,39514713.0,96.0,Hocus Pocus
9,0.0,Jim McBride,"[{u'id': 53, u'name': u'Thriller'}]",18591,['suspense'],"While restoring a fifteenth-century painting Julia reveals a hidden Latin phrase. A series of murders begin to rock her small world of art experts, patrons and restorers, and she finds that the mystery of the painting is interwoven with the mystery of the deaths around her.",0.148475,/sWx3t2T3N7Kr6Zp4Z1U8KApPtWS.jpg,1995,0.0,112.0,Uncovered
10,0.0,Joshua Michael Stern,"[{u'id': 18, u'name': u'Drama'}, {u'id': 14, u'name': u'Fantasy'}, {u'id': 53, u'name': u'Thriller'}]",22473,"['secret', 'book', 'psychiatrist', 'novelist', 'schizophrenic']","Zach Riley (Aaron Eckhart) is a psychiatrist, who leaves a job at a prestigious university, to take up a job at the privately run mental institution, 'Millwood'. What he doesnt reveal at the time of his appointment is that this was the very place where his novelist father, T.L. Pierson (Nick Nolte), spent many years of his life.",1.05232,/wQn1hj1jYeOrqprvyKQaFGK66v0.jpg,2005,0.0,108.0,Neverwas
11,0.0,Zoltan Korda,"[{u'id': 12, u'name': u'Adventure'}]",28567,"['safari', 'hemingwayesque']","A big-game hunter (Gregory Peck) takes a rich American couple (Joan Bennett, Robert Preston) on an African safari. Film adaptation of Ernest Hemingway's ""The Short Happy Life of Francis Macomber"".",0.078017,/7k9B0vluQu0WpmB4XHvHl4Rf2Mm.jpg,1947,0.0,89.0,The Macomber Affair
12,0.0,Thomas Carter,"[{u'id': 18, u'name': u'Drama'}]",22683,['biography'],Gifted Hands: The Ben Carson Story is a movie based on the life story of world-renowned neurosurgeon Ben Carson from 1961 to 1987.,0.191429,/zeHQSqzYintF4AmFHe5BTG9gCAG.jpg,2009,0.0,86.0,Gifted Hands: The Ben Carson Story
13,0.0,Zafer Par,"[{u'id': 10751, u'name': u'Family'}, {u'id': 12, u'name': u'Adventure'}, {u'id': 878, u'name': u'Science Fiction'}]",16264,,An alien is stranded on earth and eventually befriends a young boy during his quest to return to his home planet. Badi is a Turkish remake of Steven Spielberg's E.T.: The Extra-Terrestrial.,0.00216,/lh4HLUDWTxbtzEYVaLA8aWk4fJR.jpg,1983,0.0,0.0,Badi
14,1000000.0,Chris Paine,"[{u'id': 99, u'name': u'Documentary'}]",13508,"['energy supply', 'automobile industry', 'independent film']","In 1996, electric cars began to appear on roads all over California. They were quiet and fast, produced no exhaust, and ran without gasoline... Ten years later, these cars were destroyed.",0.049262,/jnAvwyGSOF952ZVdCBdwR2QB2Vy.jpg,2006,1678874.0,92.0,Who Killed the Electric Car?
15,0.0,Ulf Malmros,"[{u'id': 35, u'name': u'Comedy'}]",11466,"['brother sister relationship', 'sweden', 'village and town', 'success', 'autonomy']","When Erik, a Stockholm urbanite, learns that his beauty-queen sister, Susie, is missing, he goes to their country roots to look for her. But after talking to the eccentric locals -- including a shy video store clerk and a corrupt police officer -- Erik finds a woman who is not at all like the girl he left behind. Award-winning director Ulf Malmros helms this black comedy infused with hipster flair.",0.194625,/zK55cwwdS3THvfSgUaZMQsExtq7.jpg,2003,0.0,97.0,Slim Susie
