,Accuracy
0,0.50145811179
1,0.506397013742
2,0.510707048381
3,0.521405007296
4,0.529535083267
5,0.540877272443
6,0.552591490552
7,0.560903052974
8,0.572345056185
9,0.583469478095
10,0.596871416259
11,0.609193565884
12,0.627985315594
13,0.642811828512
14,0.665995273648
15,0.686719718018
16,0.70765286781
17,0.735391345935
18,0.753729394781
19,0.771595632158
20,0.787148035154
21,0.80334468828
22,0.831119462242
23,0.833796209436
24,0.834640067767
25,0.8383330916
26,0.838115319004
27,0.837834036932
28,0.841563358539
29,0.838696043666
30,0.840928188184
31,0.842561459154
32,0.840165988217
33,0.841327430756
34,0.841318351466
35,0.843849929368
36,0.842298322577
37,0.841200398236
38,0.843114967269
39,0.842679427891
40,0.842869968918
41,0.843777342056
42,0.842035178247
43,0.84379548949
44,0.842761090131
45,0.84334180704
46,0.84347790625
47,0.843768266643
48,0.844548615014
49,0.842824597669
50,0.843450691642
51,0.842370906981
52,0.843958819785
53,0.84287904627
54,0.843595867235
55,0.843541424449
56,0.843341808009
57,0.842806460412
58,0.843541422995
59,0.843405321846
60,0.843015156141
61,0.843768260343
62,0.843813635469
63,0.844002140145
64,0.844303628293
65,0.84387715076
66,0.844058625582
67,0.844466944051
68,0.842579609979
69,0.843849936152
70,0.844784528259
71,0.844648425172
72,0.843668459392
73,0.844485099723
74,0.844004189096
75,0.843595863358
76,0.844630279192
77,0.844811751591
78,0.843786415046
79,0.843514198695
80,0.844058632851
81,0.844085853274
82,0.845492282049
83,0.842806452658
84,0.845483205183
85,0.84315125729
86,0.84327828448
87,0.84382271379
88,0.845038606384
89,0.842461652872
90,0.844231033713
91,0.843205693291
92,0.844448797586
93,0.844131222101
94,0.84424917097
95,0.844140293637
96,0.843768264705
97,0.844593982871
98,0.843359951081
99,0.845029519825
