,0
0,Action
1,Adventure
2,Animation
3,Comedy
4,Crime
5,Documentary
6,Drama
7,Family
8,Fantasy
9,History
10,Horror
11,Music
12,Mystery
13,Romance
14,Science Fiction
15,TV Movie
16,Thriller
17,War
18,Western
